Nombre;Estrellas restaurante;Usuario;Titulo comentario;Comentario;Calificacion
The Grill Station Burger;4.5;javieraF1487RN;Muy mala experiencia;Pedí un domicilio para mi pareja en la ciudad de Bogota y la hamburguesa estaba en malas condiciones, sabor rancio.;1.0
The Grill Station Burger;4.5;Z7483FOlorenag;No me gustó;Estuve en el restaurante ubicado en el nuevo centro comercial fabricato, no me gusto que el mesero quería vendernos cocteles y sangrias con mucha insistencia, no dejaban comer tranquilos preguntando que si todo bien en 2 ocasiones cuando ni siquiera habíamos terminado de comer, y...se equivocaron dándonos la cuenta de otra mesa que fue mas alta, y de la cual solo nos dimos cuenta estando fuera del lugar. Realmente queriamos irnos rapido de ahi. Y con respecto a la comida, no fue la gran cosa y la tocineta de mi burger estaba cruda.Más;2.0
The Grill Station Burger;4.5;santlagogv;Comida muy buena, atencion tambien, pero........;"Ire directo al grano, la comida fue buena, como amante de las hamburguesas le doy un 8/10 a la hamburguesa y un 10/10  a las papas fritas y salsas de la casa.

Ahora como una salida en pareja se volvio la noche mas incomoda que...pase jamas en un restaurante? el restaurante estaba vacio, nos hicimos en el balcon en la sede poblado junto a una pareja gringa pienso yo, mi novia y yo ibamos muy bien vestidos, ella es muy blanca y de ojos claros por lo que ellos debieron imaginar que eramos extranjeros, no lo se, cuando el mesero, un chico con cola de caballo recogida llego, nos mostro la carta virtual,  todo bien todo correcto, al momento de hacer el pedido, quizo vendernos una sangria que estaban vendiendo fuera de carta para una o dos personas, le pregunte cuanto valia y dijo, ""No se, unos 15.000 o mas de 20.000"" debido a la respuesta inconclusa decidi no ordenarla, pedimos una haburguesa especial , una estilo nueva york y dos coca cola zero ( La dieta jeje), la respuesta del mesero al decirle que no deseabamos la sangria fue de "" JMMM, wow, en serio"", tuvo una actitud de.. si no van a gastar que hacen aqui, OK, primer STRIKE, luego de eso la atencion por parte de el mesero y el tiempo de la comida fue excelente, pedimos que nos prestara un par de lapiceros para jugar stop y lo hizo inmediatamente, y pedimos un vaso con hielo para las gaseosas, de nuevo inmediato, Yo se que en estos lugares suelen cobrar el servicio (practica que personalmente considero poco honesta, si me van a cobrar algo reflejenlo en la carta y menu) yo siempre digo que no, pero siempre si el mesero fue bueno como en este lugar, le dejo una propina de alrededor 5000 pesos, y eso era lo que iba a hacer, El mesero nos pregunto ""estan DE ACUERDO con e servicio"" no el clasico desean pagar el servicio, si no estan de acuerdo, una frase bastante incomoda(SEGUNDO STRIKE), a lo que mi novia respondio que no, la reaccion del sujeto fue grotesca, pude ver por debajo de su tapabocas la expresion facial que nos hizo y se quedo mirandonos unos incomodos 6 segundos al menos, acto seguido fue y dijo en voz alta a la chica de la caja registradora ""mesa 4, SIIIN SERVICIIOOO"", en voz alta, la pareja gringa de al lado volteo a mirarnos, lo cual fue bastante humillante, ok (TERCER STRIKE), Creen que se podria poner peor? pues si, resulta que en ese momento la pareja gringa pago con datafono, y tuve la suerte de oir que su cuenta fue de unos 80.000 pesos, a lo que le preguntaron de pagar el servicio y dijeron que si, la reaccion del mismo mesero fue ""MUY BIEEEEN ASI ES QUE ES, Y ME MIRO DESAFIANTEMENTE""CUARTO STRIKE, mi novia y yo no lo podiamos creer, para colmo la pareja dejo una propina de unos 7000 pesos en la mesa(si 14.000 pesos dejaron de regalo junto a el famoso ""servicio""), cosa que el infeliz que no hay otra palabra para llamar a ese mesero, los tomo frente a mi y los puso en su mano practicamente mostrandolos (QUINTO STRIKE), para colmo, le llame para que por favor recibiera el pago, y el infeliz ME MIRO Y JIRO LA CABEZA, espere 15 minutos mientras hablaba con mi novia y el Infeliz nunca fue por el dinero (SEXTO STRIKE) listo esta bien dije, pesnse, he venido en el burguermaster en 3 ocaciones y he venido unas 6 o 7 veces en total, pero han perdido horriblemente un cliente, pagare y jamas volvere a un lugar donde debes regalarles dinero para tenerlos feliz o de entrada deberian de tener el slogan, ""Si no dejas propina y pagas servicio eres una escoria para nosotros, me dispuse a pagar y quieren saber si se puso peor? SIII se puso peor, el Infeliz dijo, esos, ESOS son los de la mesa 4 (SEPTIMO STRIKE), la chica de la caja una mujer de pelo rubio tinturado y algo pasada de kilos fue la cereza del pastel, Mi novia le estiro la mano para recibir 6000 pesos de cambio(los cuales eran para el mesero antes de que se volviera el humano mas despreciable sobre la tierra), y la cajera, no se lo entrego en la mano, los puso en la mesa a pesar del gesto de la mano estirada y dijo TENGAN ESO ES DE USTEDES... TENGAN..... OCTAVO STRIKE??? 

LA PEOR Y MAS GROTESCA EXPERIENCIA QUE HE TENIDO JAMAS EN UN RESTAURANTE, la comida buena, recomiendo ir? a menos de que tengas dinero para regalarles a esos limosneros o seas gringo y te estorbe el dinero ve, si no es asi preparate para que te traten como basura, INHUMANOS, ETICA NULA, MIDEN EL USUARIO POR SU BILLETERA, YO PAGUE LA COMIDA EL PRECIO QUE ME SALIA EN LA TIRILLA IBA A DEJAR PROPINA PERO USTEDES SON UNA DESGRACIA COMO RESTAURANTE, TERRIBLE.Más";1.0
The Grill Station Burger;4.5;Julimejialon;Comer y jugar Stop!!;Las hamburguesas son deliciosas, variedad de acompañamientos y salsas lo que hace muy satisfactoria la comida, además nos divertimos con el juego de agilidad mental y léxico que en Medellín llamamos comúnmente Stop. Recomendado para ir con amigos, pareja o familia. Muy buena atención y...hay refill.Más;5.0
The Grill Station Burger;4.5;jorgemgiraldom;Delicioso;"La hamburguesa tradicional ""Original Grill"" con salsa Jack Daniels es una bomba!! y el sitio es muy agradable. Lastima el servicio tan lento.";4.0
The Grill Station Burger;4.5;cristinavX7128HQ;Deli;Muy ricas las hamburguesas, dignos representantes del máster burguer. Un poco costosas pero muy ricas.;5.0
The Grill Station Burger;4.5;jcten;Muy Bueno;Visitamos la sede de provenza y el resultado bastante bueno. Probamos la Black Angus, la Pampa Burguer y por supuesto la ganadora de este año: La Angus Master. Con mis hijos coincidimos en que son de las mejores hamburguesas de Medellín, sabores intensos de carnes...y quesos combinados con verduras y un suave pan generan una gran experiencia. No nos dio el estómago para el postre y nos quedamos con las ganas de una Galleta Horneada...volveremos!!!Más;5.0
Marmoleo;4.0;Leonardo S;15 meseros, cero atención;"Llegamos con gran expectativa, música en vivo, recepción inmediata. 
Se realizó pedido y disfrutando con mi esposa nos percatamos que el pedido estaba demorado mas de 50 min. De notamos que durante este tiempo a pesar de ver varias personas que trabajan allí, ninguna se...acercó a preguntar si deseamos algo o si estaba todo en orden, se llama a una mesera preguntando por pedido y ni siquiera responde. Esperamos 10 min más y al no tener respuesta. Decidimos retirarnos, pedimos la cuenta y para cereza del pastel, tuve que dirigirme a la caja a buscarla.

Que falta de administración y compromiso de servicio.

Salimos a San carbon donde fué la cara opuesta de la atencionMás";1.0
Marmoleo;4.0;229guillermob;Sin duda un must para conocer , excelente servicio , comida y ambiente!!;"Definitivamente un lugar para venir si o si , excelente servicio, comida y ambiente.

Regreso si o si !!";5.0
Marmoleo;4.0;Maria M;No vayan. Hay mejores opciones en Medellín;"Llegamos a las 12, hora en que supuestamente el restaurante abre. 30 minutos después no nos han atendido. Tienen una reunión de todo el personal. Muy mala atención al cliente. 
Adicional no tienen habilitados los juegos de niños. Están en remodelación";1.0
Marmoleo;4.0;andreycamilov;Cena de grados;"El sitio es único e irrepetible

La comida es excelente, deliciosa y bien preparada

La atención del personal es impecable y diligente

Y hay música en vivo, por lo que es recomendable pedir mesa dentro si se quiere un ambiente más social";5.0
Marmoleo;4.0;Tgc T;Deben mejorar el distanciamiento por pandemia ;"Como siempre la comida maravillosa
El servicio excelente
Pero estamos en pandemia y las mesas son muy juntas y apeñuscadas, tienen mucho espacio, pero no lo dejan utilizar, quieren a todos en el mismo lugar de aglomeración, eso nos hizo marchar rápidamente";4.0
Marmoleo;4.0;Andres0623;Excelente comida y ambiente;Un ambiente genial para compartir en pareja, comida de gran calidad a excelente precio. Absolutamente recomendado;5.0
Marmoleo;4.0;916juan_;Es una fonda costosa;No puedo negar que la comida es muy buena, pero el ambiente es el de un parque de pueblo.  Aunque tiene una orquesta o un Mariachi, no apagan la música, con lo que el ruido es horrible. Buena comida, mal ambiente.;2.0
Marmoleo;4.0;Alemator;Buen sabor ... mala temperatura ;Buen sabor, sin embargo de 8 platos pedidos  en momentos  diferentes 4 estaban frios totalmente, se anunció  a servicio y no hubo ninguna intención por mejorar la experiencia;3.0
Marmoleo;4.0;pralineartisanal;cuidado en los precios;"Buenos dias, es la segunda vez que voy en este restaurante, todo fue perfecto la primera vez, ayer fuimos hasta ya, yo mire en la página internet , como lo hace siempre para ver el menu y los precios, elígenos los platos ( muchas no...avía) entradas, platos principal, postres, sangria ,café y rum..todo fue muy rico
hasta la entraga de la nota ..
nada de ver con los precios de la página internet,
todo muchos mas caro, sangria de 89.000 a 115000, carpaccio de 35000  a 45000 etc..al final una nota de 385000..
yo lo digo a la jefa.. y me digo : haaa son los viejos precios, usted debe ver en instagram ( que no se abre la pagina)  o otras bobadas.. ni una disculpa ni un baso oferto par la casa para disculparse..nada de nada.. ellos pierdes un cliente 
yo se que hay muchos clientes que vas a este resto, también hay milles de restorante de misma cualidad y menos precios en Medellín..
la nota para la comida es al tope
la nota para el servició y los precios es a bajo de todoMás";2.0
Marmoleo;4.0;Lilip2222;Fui el sábado pasado exclusivamente;Fui el sábado pasado exclusivamente por la bandeja paisa y NO tenían frijoles. Pésimo servicio y la atención no fue la mejor. No nos sugirieron otros platos.Más;1.0
Lenteja Express;4.5;sarumanu;Hamburguesas vegetarianas ;Gran variedad de platos y platillos vegetarianos y veganos,buenos zumos,local pequeño, sabe a carne pero no es carne;3.0
Lenteja Express;4.5;JulianaVillate;El de Bogota es extraordinario !!!;he ido varias veces a la lenteja express de Bogota ( no aparece en TripAdvisor) , de la séptima con 67 y me pareció excelente .Es comida vegana deliciosa . La frijolada, el Ajiaco, las ensaladas , las empanadas , las tortas . Todo delicioso...y la atención es muy amable cálida cordial y rápida .Super recomendable.Más;5.0
Lenteja Express;4.5;Jhoan G;Ideal para los amantes de las hamburguesas y la salud.;"Es un lugar donde puedes encontrar tanto comida vegetariana como vegana. Su especialidad son las hamburguesas, ofrecen gran variedad de éstas, pero también cuentan otros platos distintos, los cuales son también opciones exquisitas.

Sugiero que pidan la comida en combo, de esa manera su comida...vendrá acompañada de bebida y papas, siendo más económico el precio por todo y más delicioso.

Estos restaurantes están en Medellín, Bogotá y Barranquilla, en la primera cuentan con cuatro sedes: Poblado, Laureles, Buenos aires y Centro.Más";5.0
Lenteja Express;4.5;NayeliHR;SUPER DELI PARA CUALQUIER PALADAR;He ido al ubicado en Laureles y en el Poblada. Es simplemente deliciosas las hamburguesas, los almuerzos. Muy buena opción para veganos y vegetarianos y los que no lo son, PRUEBENLAS, LES VAN A ENCANTAR.;5.0
Lenteja Express;4.5;mfsalazart;Delicioso!!! ;Ambiente tranquilo, comida saludable y deliciosa!!! Opciones vegetarianas y veganas. Felicitaciones!!!;5.0
Lenteja Express;4.5;alekspaz92;Una opción vegetariana variada y deliciosa;El menú está lleno de opciones, unas en combo y otras tan completas que te dejan satisfecho. Los sabores e ingredientes son de muy buena calidad y principalmente frescos. Me gusta la ensalada o el combo mexicano con papas criollas, y las bebidas e infusiones...son muy deliciosas. El servicio es bueno, en especial el de Laureles.Más;5.0
Lenteja Express;4.5;Siomara V;Horario;Nos encanta lenteja express, pero en las últimas dos ocasiones que hemos intentado comer no lo hemos logrado, la primera vez, un domingo, llegamos a las 3 de la tarde y nos dijeron que no había servicio, hoy de nuevo, a las 6 de la...tarde llegamos y nos dijeron que había servicio en media hora cuando en la página nisiquiera especifican que cierran en un horario específico diferente a la hora de cierre habitual.Más;2.0
Lenteja Express;4.5;RamiMedellin;Gran escapada del mundo animal!;Bueno, no niego que para comer soy algo cuadriculado y tradicional, pero a veces me doy oportunidades o mi pareja me impulsa a descubrir sabores que he descubierto gratamente.  Fuimos a Lenteja Express a  almorzar y pedí una hamburguesa mexicana que llegó deliciosa con su...centro de carne compuesta del tradicional grano que da mombre al lugar. De mis compañeros probé el humus bañado en pan arabe que me dejó con envidia. Lo único que hace falta es mi cocacola cero que seguro no es coherente con la naturaleza del lugar. Servicio muy atento y conocen el producto. Solo espero que sea Viernes para regresar por la cazuela que ofrecen ese dia.Más;5.0
Lenteja Express;4.5;chili93;Buenas opciones! ;Los nachos son muy buenos, y los perritos tambien son muy ricos, pero pequeños se recomienda pedir la promo X2 . Tienen gran variedad de hamburguesas vegetarianas. :);4.0
Lenteja Express;4.5;clagica5;Deliciosa hamburguesa vegetariana;La relacion precio calidad es excelente, en realidad recibes un plato mas rico de lo que pagas. El lugar no es muy lindo, poco acogedor, pero por las hamburguesas vale la pena. El pan de hamburguesa es espectacular, sabe delicioso. Hay pocas opciones de bebidas,...todas son muy artesanales. El servicio es rapido.Más;5.0
Trattoria Astorga;4.5;219catalinam;La pizza como me gusta;Delgada, crujiente y artesanal, así es la masa de la pizza en Trattoría Astorga. En cuanto a los sabores, recomiendo dos: burrata, la mejor de su clase y para los amantes del sabor picante, la Diavola. A esto se suma un ambiente de terraza delicioso,...para rematar la comida o el almuerzo con unos buenos cocteles.Más;5.0
Trattoria Astorga;4.5;Susanaboterob;Excelente lugar y comida;Una de las mejores pizzas de burrata que he probado en la ciudad. La pasta es hecha en el restaurante y se siente la frescura de los ingredientes. Excelente lugar si lo que quieres es comer delicioso.;5.0
Trattoria Astorga;4.5;Marcelabaenac;Muy recomendable;Fue una gran experiencia con mi familia. Pedimos variedad de platos y todos exquisitos. Muy buen servicio y facil acceso al lugar.;5.0
Trattoria Astorga;4.5;42sebasti_nl;Posta;De las mejores pizzas que me he comido en Colombia, una masas deliciosa y sus variaciones son espectaculares, voy frecuentemente.;5.0
Trattoria Astorga;4.5;rafawalker72;La mejor limonada de coco;La Rotonda es una pizzeria muy chévere en Medellín. El lugar es muy agradable y la calidad de sus insumos es muy buena. Las pizzas y el sánduche de pollo son deli. Pero la limonada de coco es la mejor de todas las limonadas de...coco. Es un sitio muy recomendable.Más;5.0
Trattoria Astorga;4.5;miul1234;Buen sitio;"Sitio agradable, sencillo, pero de muy buena comida.
Su comida no es sofisticada, pero es muy buena y agradable.
Ademas es muy bien atendido, y la gente es muy amable.";4.0
Trattoria Astorga;4.5;jozabal;Sobre los precios;"Pocas veces miro críticamente los precios de las comidas en los restaurantes que de entrada se que no son baratos, pero después de haber ido a esta pizzería creo que lo seguiré haciendo. Adicionalmente creo que no me volveré a dejar engañar con ese remoquete...de “Gourmet”, palabra elegante con la que se quiere disfrazar a la comida normal. Hoy en día en Medellín, una pizza “Gourmet” ya es una pizza normal, a menos que vayas a las cadenas de pizzería que son ampliamente conocidas.

Mi insatisfacción con este restaurante es que pagué poco más de 90000 pesos por una pizza mediana y dos limonadas, cosa que me pareció inaudita cuando me monté  al carro par irme y le di otra mirada a la factura. Tanto me sorprendió que me devolví y pedí una carta a ver si era que se habían equivocado. Y no, no se equivocaron. Pagué 90 de mil por una pizza normal. Mejor me hubiera comido la hawaiana de Piccolo que es mucho mejor.

Hace rato no me sentía tan engañado, y por eso gracias a sitiecitos como este, es que seguiré dándole una mirada crítica a los precios de las comidas en las cartas para no seguir regalando así la platica.Más";2.0
Trattoria Astorga;4.5;Alberto V;Sencillo restaurante italiano;Repetí pues queda cerca de mi casa, no es una carta muy amplia, pero es aceptable, bien atendido, un sitio agradable, bien situado;3.0
Trattoria Astorga;4.5;JuanoViajes;Probando una nueva pizza;Que pizza tan increíblemente delicioso, ganaron un cliente mas. Hace rato no me comia una pizza tan buena, la masa es de locos, crocantisima! Se los recomiendo. Para mi una de las mejores pizzas de Medellín.;5.0
Trattoria Astorga;4.5;Ana B;La mejor pizza;Masa delgada y crujiente. Deliciosa. Buena variedad y lo mejor es que es perder friendly. Al aire libre me encanta y con una noche como la de hoy, el mejor plan;5.0
Sushi Market;4.0;PalaC_12;Buen sushi que hay que comer con bebidas locales porque su oferta de vinos es una vergüenza;"Buen sushi. Pésima oferta de vinos. En todas sus sedes me ha sucedido que no hay vino blanco. Suelen tener una botella (de un vino malo) y la mayoría de las veces no tienen ni una sola. 
Una lástima que una buena oferta de sushi...se diluya por esa torpeza.Más";3.0
Sushi Market;4.0;andreaarangor;No es lo que se ve en la carta;El tamaño muy pequeño y no es igual a la carta lo que sirven. Le hice la observación al mesero y no lo tomó como era desvío totalmente lo que le dije;2.0
Sushi Market;4.0;P4609IEdanielv;100% recomendable ;Fuimos a cenar y la comida es 10/10. De entradas hemos pedido baos de cerdo, croquetas de camarón y crab roll. Después pedimos variedad de rolls: premium, vip, master, cuzco roll. El último es el mejor de todos. Increíble. En general todo excelente. Volveremos.;5.0
Sushi Market;4.0;lilicastro78;Simplemente muy rico!;La comida deliciosa, el servicio podría mejorar más por la inexperiencia de los meseros que por falta de actitud, pero definitivamente hacen su mayor esfuerzo en dar toda una experiencia. La verdad lo recomiendo completamente;5.0
Sushi Market;4.0;Alberto T;Agradable, buen servicio;"Fui con compañeros de oficina a un almuerzo de despedida de año;  nos fue muy bien, buena atención, precios justos, comida variada y de calidad.";4.0
Sushi Market;4.0;sar429;Rollo volcano;Mala calidad rollo volcano.   No es barato , como para no validar los ingredientes , demasiado reseco h sin sabor .;3.0
Sushi Market;4.0;MARIA U;Delicioso;Es de los mejores sushis que he probado en Medellín. Además a domicilio llega perfecto y completo con salsas. Las porciones son buenísimas. Los edamames los pides especial como te gusten. Los mejoran si lo pides.;5.0
Sushi Market;4.0;Floranfetamina;El mejor sushi de Medellín;Si bien parece que los rolls son mas pequeños que en otros sitios, lo compensa el delicioso sabor. Los arroces son muy muy ricos. Mejoraría la presentación de la carta, hacerla más dinamica ya que cuenta con pocas fotos y muchas letras, y mucha gente...se guía más por las imágenes visualesMás;4.0
Sushi Market;4.0;vanerore;Me encanta ;Nunca me decepcionan, me encanta toda la comida, el sushi es delicioso las entradas exquisitas igual que los ceviches super recomendado;5.0
Sushi Market;4.0;vigilanteviajero;Muy bien la comida pero el servicio....!!!;En el centro comercial Arkadia que recientemente abrieron.... la comida excelente pero el servicio muy malo.;3.0
Bogota Beer Company;4.0;P3685JOangelam;No recomiendo;"comida mala fria y no sabia bien , mala atencion al cliete, cuando pregunte por la factura electronica me dijero que debia leer las paredes y decir antes de comer pues solicite la factura electronica cuando fui a pagar. 

The food was cold it was...not a good taste, they did not provide the electronic  invoice with the QR.Más";1.0
Bogota Beer Company;4.0;Dianaalvarez2525;Disfrutando;Excelente lugar para disfrutar de cervezas artesanales muy bonito lugar muy agradable sigan asi.....;4.0
Bogota Beer Company;4.0;Jose Luis R;La Cerveza;el lugar con un estilo muy propio y de mucha personalidad sirve varios estilos de cerveza artesanal y comida como acompañamiento;5.0
Bogota Beer Company;4.0;José Daniel J;Que buena cerveza!!;Me encanta la música, la atención y la buena cerveza! Recomendada para pasar un rato muy bueno! siempre tienen buena programación en el tv y siempre cerveza fría!;5.0
Bogota Beer Company;4.0;Daniela V;La mejor cerveza artesanal;"El lugar es muy amplio, la música es agradable y el servicio es excelente. Todos son muy amigables y atienden a los clientes y a sus mascotas. Si se busca un lugar pet friendly es es el indicado.
Tip: preguntar por la cerveza de temporada...;)Más";5.0
Bogota Beer Company;4.0;Mónica D;Buen ambiente;Fuimos solos por bebidas, el lugar es muy amenu, el menu se ve bien, el servicio fue muy atento. En la proxima vez en Medellin de fijo voy a cenar alli.;4.0
Bogota Beer Company;4.0;444mirnam;buena cerveza;Situado frente a Plaza Andino , zona rosa de bogota.  personal super agradable, excelente servicio.   Muchas variedades de cerveza artesanal.  Super recomendado;5.0
Bogota Beer Company;4.0;estebang333;Buen descubrimiento ;Siempre que vas a Provenza pasas por la esquina y no te percatas que existe un bar tan bacano como este! Grande, buen diseño, agradable y con unas cervezas deliciosas, muy muy recomendado!;5.0
Bogota Beer Company;4.0;cholymanco;Con Amigos!;Fui a compartir con unos amigos y pedimos una picada bbc. Estaba rica y grande. Lo único es que le bajaría un poco a la grasa por lo demás muy bien todo.;4.0
Bogota Beer Company;4.0;lunagarces;Rico;Anoche fui después de Colombiamoda para tomarnos algo y comer.. pedimos la picada bbc para compartir, muy rica y grande.;5.0
Delirio exquisito;4.0;SvenColombia;Experiencia desagradable;"Sobre el lugar y ambiente hubiera podido relatar aspectos positivos, sin embargo la experiencia con la actitud del mesero a la hora de servir la comida fue tan desagradable, que me voy a limitar a describir esto. 
El mesero sirve la comida que está acompañada...por una salsa. Ésta salsa a la hora de poner el plato en la mesa chorrea por encima de su dedo sucio dentro de la comida. Lo normal hubiese sido un retiro inmediato de ello de regreso a la cocina. No en DELIRIO. Aquí el mesero se retira y deja la comida con la salsa chorreada por encima de sus sucios dedos en la mesa. Me parece un asco. Solo pedí la cuenta, pagué y me alejé.Más";1.0
Delirio exquisito;4.0;101mar_adelmarv;El mejor restaurante!;"Es de las mejores comidas que he probado; el sabor el servicio y la experiencia fue increíble! Volvería mil veces más";5.0
Delirio exquisito;4.0;sbetancur87;Excelente lugar!!!;Recomiendo el lugar! la atención es excelente, el ambiente, la música y la comida lo mejor! LOS TACOS GRATINADO son una delicia, tiene que ir a probarlos.! unos de mis lugares favoritos siempre que voy a a Laurea es mi lugar;5.0
Delirio exquisito;4.0;issacastro;La mejor comida Texmex de la ciudad;"Fui con mi familia a la sede de Laureles a celebrar el cumpleaños de mi mamá, el menú realmente delicioso; los nachos gratinados,los camarones roca , los tacos gratinados, el postre ""flautas delirio"" y la ""Milhoja delirio"" UNA LOCURA, REALMENTE UN  MENÚ EXQUISITO. El ambiente...muy agradable y la atención muy amena. Delirio quedó dentro de nuestros restaurantes favoritos. Una experiencia que vale la pena repetir.Más";5.0
Delirio exquisito;4.0;juankmilor;Mala experiencia;No fue buena elección, la carne estaba fría al centro y quemada afuera, la salsa de la alambra estaba cortada y estaba muy hacia el mundo dulce, muy demorados y el servicio regular;2.0
Delirio exquisito;4.0;Margarita G;No tienen en cuenta a personas de la tercera edad;Fuimos cuatro personas de la tercera edad y salimos desilusionadas pues la única forma de ver la carta es usando un celular a través del código QR.  Ni los dueños, ni los administradores tienen en cuenta este segmento de la población que no crecieron utilizando...la tecnología.  Muchas personas en especial aquellas sobre los 70, no cargan el celular y mucho menos saben utilizar estos códigos.  No hay justificación alguna para no poder mostrar un menú impreso, o en un tablero, o en una pantalla de televisión.  Estos restaurantes quedan descartados para mi y mi familia.  Se pierden unos clientes de que además de tener el tiempo para visitar todos los restaurantes, tienen la capacidad económica de pagar sus precios.Más;3.0
Delirio exquisito;4.0;L1220SUanamariaf;Probando Medellín Gourmet;Un menú delicioso, una atención excelente y unas porciones justas. Quedamos satisfechos y con ganas de volver.;5.0
Delirio exquisito;4.0;Karen_Damore;Comida día de madres;Pésimo servicio no recomendado, por 120 mil pesos un plato de comida y una entrada de Guacamole. Adjunto la foto. Terriblemente costoso para lo que llega en el domicilio.;1.0
Delirio exquisito;4.0;Jhoni R;Fui con una amiga y probamos;Fui con una amiga y probamos los cócteles y los nachos, al finalizar probamos la milhoja, todo estuvo muy rico, el servicio fue oportuno, lo mejor los cócteles, felicito a Bartman Pablo muy profesional y cordial.;4.0
Delirio exquisito;4.0;luzhelena;Re-malo y caro ;Fuimos a almorzar, el restaurante queda en la avenida nutibara, malo el servicio , la comida muy regular y carísimo, 4 personas, dos platos de fajitas para compartir con bebidas  casi 400.000 pesos;2.0
La Bottega Verde;4.5;Dora V;Súper rico;El servicio y la comida son lo máximo.  Es económica queda cerca del museo de arte moderno. La carta es muy variada;5.0
La Bottega Verde;4.5;CIROLUISLARASERPA;Bueno y rapido;Una buena opción de comida italiana, con pasta fresca en ciudad del Río cerca al mamm. Los precios son buenos y tienen un plato del día que es una opción de buen precio y muy rápida, la atención es buena.Más;5.0
La Bottega Verde;4.5;pilars2013;Bonito;"Fui con mis hijos a almorzar , el servicio es bueno y también los alimentos pero no es algo fuera de lo común . 
El precio es accesible y es Razonable para la calidad de los alimentos y bebidas.
El lugar está muy bien decorado...y es muy agradable. 
Pero cada quien está en su rollo ni adiós te dicen!!!Más";4.0
La Bottega Verde;4.5;Federicouo5;Delicioso;Excelente ensalada, también los sandwiches y las sopas. Si quieren el almuerzo de día también es una buena opción.Más;5.0
La Bottega Verde;4.5;jpalaciod;Excelente ;Un desayuno excelente, muy buena atencion, muy recomendado el waffle de pandebono y el hot dog a la italiana;5.0
La Bottega Verde;4.5;ecastill4;Imperdible de Medellín ;"Realmente es de aquellos restaurantes qué se debe visitar. Excelente atención, que va acorde con la comida. 
Los comentarios no quedan corto solo hacen justicia.
Un plato de gnocchi al pomodoro magnífico, cantidad justa, sabor inmejorable, acompañado con un pan focaccia fresco.
Plato preparado con...delicadeza.
Una panna cotta deliciosa, con frutos rojos que le da un buen toque.
La música acompaña cualquier conversación. 
Si estás en el hotel Ibis no puedes dejar de pasar.Más";5.0
La Bottega Verde;4.5;ngomez2018;Delicioso;"Es un lugar muy agradable, la comida deliciosa, saludable y el servicio es rapidisimo!!! Mas te demoras en pedir que el almuerzo en llegar.... perfecto para quienes marcamos tarjeta!!!!
Felicitaciones!!!!Más";5.0
La Bottega Verde;4.5;cristinamunozv;Excelente;Un lugar único, la pizza y las sopas las mejores de Medellín, también recibe mascotas. Adicionalmente cuenta con menú del día con pasta hecha en casa deliciosa!!!!!;5.0
La Bottega Verde;4.5;pauch774;Desperdician!!! ;Este lugar era uno de mis sitios frecuentes para almorzar hasta hoy. Para mi sorpresa la semana pasada este restaurante decidió que es de los que prefiere BOTAR LA COMIDA que retirarla de un plato cuando por solicitud del cliente se pide que no sea...servida para no perderla. Cuando amablemente solicité no servir un acompañamiento para evitar la pérdida me responden con que lo sirven así lo deje en el plato. Esto es inaudito. Es desperdicio y es no tener conciencia. Sobra decir que para evitar esta situación solicité entonces que me la empacaran para llevar, lo cual derivó que el restaurante tuviera que cubrir los costos adicionales de empaque los cuales se habrían ahorrado con el hecho de NO SERVIR el acompañamiento en primer lugar.Más;1.0
La Bottega Verde;4.5;armandos250;Muy buena pasta en Medellin;"Muy acogedor ambiente pero carente de aire acondicionado 

Muy buena pasta y buena variedad de salsas, aunque limitada en tipos de pastas, solo tenían pastas cortas y largas (caracoleado y fettuccinis)

Tienen un menu diario contundente y sabroso a buen precio

Yo pedi esta vez...unos fettuccinis con crema, champiñones y pollo. La pasta estuvo deli, la salsa buena también, aunque extrañe el ajo (como buen Peruano)

Mis amigos pidieron unos ñoquis en salsa de tomate que le encantaron al Pipe (mi amigo) y su esposa Laura pidió el menu del día con unos caracoles, pollo al pesto impecable. 

Unas (bastantes) focaccias para compartir un queso provolone con tomate en el fondo (algo nuevo para mi) muy ricos

La experiencia fue buena y la compañia lo mejor

Esta vez no tome foto de los platos 🤦🏻‍♂️,,, disculpas por esoMás";4.0
Entre Maderos;4.0;JEJaramillo;Buena vista y gran comida;"Fui con mi esposa, hermano y sobrina, pedimos de entrada empanadas y chicharrón, estaban ricos.

De platos fueres pedimos pulpo a la parrilla,  punta de anca, lomo y paella. Le dieron en el punto a mi hermano que pone mucho problema para la carne. Mi...pulpo estaba delicioso acompañado de un puré de papa espectacular. La paella no era tal, era más un arroz caldoso que estaba rico y el lomo estaba súper tierno y justo en el punto en que se había pedido.

Los jugos con que acompañamos los platos estaban ricos n su punto, excelente balance de fruta, agua y azúcar. Quedamos tan llenos que no pedimos postre.

El sitio es muy agradable y muy bueno el servicio.Más";5.0
